WK07;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;7326.00;0;0;0;0;0;0;0
CNF1;23309.00;0;0;0;0;0;5;0
DBZ1;6846.00;0;0;0;0;0;0;0
DSP2;3657.40;0;0;0;0;0;0;0
DBH5;2768.60;0;0;0;0;0;1;0
DRJ3;2117.70;0;0;0;0;0;0;0
FOR2;10706.00;0;0;0;0;0;1;0
GIG1;24827.20;0;0;0;0;0;4;0
GRU5;41092.17;0;0;0;0;0;5;0
GRU8;12360.00;0;0;0;1;0;4;0
POA1;23247.00;0;0;0;0;0;0;1
REC1;19857.20;0;0;0;1;0;0;0
XBRA;26778.40;0;0;0;0;0;0;0
XBRB;16843.20;0;0;0;0;0;0;0
XBRT;136144.80;0;0;0;0;0;0;0
XBRZ;10903.20;0;0;0;0;0;0;0
