WK11;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;6777.40;0;0;0;0;0;0;0
CNF1;19434.80;0;0;0;0;0;4;0
DBZ1;8167.60;0;0;0;0;0;1;0
DSP2;5558.60;0;0;0;0;0;0;0
DBH5;3760.50;0;0;0;0;0;0;0
DRJ3;4421.90;0;0;0;1;0;0;0
FOR2;10475.33;0;0;0;0;0;1;0
GIG1;24708.85;0;0;0;0;0;2;2
GRU5;48838.06;0;0;0;1;0;8;0
GRU8;12555.20;0;0;0;0;0;7;1
POA1;19259.00;0;0;0;0;0;2;0
REC1;19050.20;0;0;0;1;0;3;0
XBRA;28600.00;0;1;1;0;0;1;0
XBRB;15268.00;0;0;0;0;0;0;0
XBRT;140492.00;0;0;0;0;0;0;0
XBRZ;12953.60;0;0;0;0;0;0;0
