WK17;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;6313.40;0;0;0;0;0;0;0
CNF1;16324;0;0;0;0;0;2;0
DBZ1;6307.00;0;0;0;0;0;1;0
DSP2;4179.90;0;0;0;0;0;0;0
DBH5;2959.80;0;0;0;0;0;0;0
DRJ3;4607.30;0;0;0;0;0;0;0
FOR2;8598.00;0;0;0;1;1;1;0
GIG1;17038.74;0;0;0;0;0;1;0
GRU5;44056.28;0;0;0;0;0;8;1
GRU8;12668.20;0;0;0;0;1;3;1
POA1;14167.00;0;0;0;0;0;0;2
REC1;16813.20;0;0;0;1;0;5;1
XBRA;20732.80;0;0;0;0;0;0;0
XBRB;10577.20;0;0;0;0;0;0;0
XBRT;92268.00;0;0;0;0;0;1;0
XBRZ;7515.20;0;0;0;0;0;0;0
