WK26;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;11338.40;0;0;0;1;0;3;0
CNF1;49255.80;0;0;0;2;0;3;0
DBZ1;6973.50;0;0;0;1;0;2;0
DSP2;5212.50;0;0;0;0;0;0;0
DBH5;5898.00;0;0;0;0;0;0;0
DRJ3;8148.00;0;0;0;0;0;0;0
DSP3;5533.00;0;0;0;0;0;1;0
FOR2;12717.00;0;0;0;1;1;6;2
GIG1;44808.13;0;0;0;0;1;4;1
GRU5;70987.71;0;0;0;0;0;1;0
GRU8;24435.60;0;0;0;0;0;2;3
POA1;31250.02;0;0;0;1;0;3;1
REC1;40235.20;0;1;1;0;0;7;0
XBRA;33475.20;0;0;0;0;0;1;0
XBRB;121117.60;0;0;0;0;0;0;0
XBRT;136831.20;0;0;0;0;0;0;0
XBRZ;6124.80;0;0;0;0;0;0;0
