WK24;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;8416.20;0;0;0;0;0;9;0
CNF1;34295.8;0;0;0;0;0;6;0
DBZ1;6578.10;0;0;0;0;0;0;0
DSP2;4284.90;0;0;0;1;0;0;0
DBH5;5209.40;0;0;1;0;0;0;0
DRJ3;6378.90;0;0;0;0;0;0;0
DSP3;3368.90;0;0;0;0;0;0;0
FOR2;9775.33;0;0;0;0;0;1;1
GIG1;30518.54;0;0;0;0;0;7;2
GRU5;55691.96;0;0;0;0;0;4;0
GRU8;13788.20;0;1;1;1;0;0;0
POA1;19702.70;0;0;0;0;0;1;0
REC1;27436.20;0;0;1;1;0;4;0
XBRA;30104.80;0;0;0;0;0;0;0
XBRB;12205.60;0;0;0;0;0;0;0
XBRT;121519.20;0;0;0;0;0;0;0
XBRZ;6124.80;0;1;1;0;0;0;0
