WK04;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;7462.84;0;0;0;0;0;1;0
CNF1;20493.00;0;0;0;0;0;2;1
DBZ1;6533.00;0;0;0;0;0;0;0
DSP2;3241.20;0;0;0;0;0;0;0
DBH5;2849.50;0;0;0;0;0;0;0
DRJ3;2336.20;0;0;0;0;0;0;0
FOR2;10795.33;0;0;0;0;0;1;1
GIG1;25403.60;0;0;0;0;0;1;0
GRU5;16630.40;0;0;0;1;0;3;0
GRU8;11595.40;0;0;0;0;0;7;0
POA1;19141.00;0;0;0;1;0;3;0
REC1;15927.20;0;0;0;0;0;2;1
XBRA;23768.80;0;0;0;0;0;1;0
XBRB;16376.80;0;0;0;0;0;0;0
XBRT;153912.00;0;0;0;0;0;0;0
XBRZ;12144.00;0;0;0;0;0;0;0
