WK01;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;7675.56;0;0;0;0;0;0;0
CNF1;20215.80;0;0;0;1;0;2;0
DBZ1;7413.30;0;0;0;0;0;1;0
DSP2;3576.70;0;0;0;0;0;0;0
DBH5;2263.50;0;0;0;0;0;0;0
DRJ3;2105.90;0;0;0;0;0;0;0
FOR2;8880.00;0;0;0;0;0;0;1
GIG1;23995.00;0;0;0;0;0;4;0
GRU5;31494.00;0;0;0;1;0;4;0
GRU8;14222.40;0;0;0;0;0;3;0
POA1;17750.00;0;0;0;0;0;1;0
REC1;16022.20;0;0;0;0;0;1;0
XBRA;25810.40;0;0;0;0;0;0;0
XBRB;14062.40;0;0;0;0;0;0;0
XBRT;154237.50;0;0;0;0;0;0;0
XBRZ;12584.00;0;0;0;0;0;0;0
