WK05;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;7517.20;0;0;0;0;0;1;0
CNF1;22134.20;0;0;0;0;0;2;0
DBZ1;6411.80;0;0;0;0;0;0;0
DSP2;3632.00;0;0;0;0;0;0;0
DBH5;2926.00;0;0;0;0;0;0;0
DRJ3;2477.00;0;0;0;0;0;0;0
FOR2;10869.33;0;0;0;0;0;1;0
GIG1;24926.50;0;0;0;0;0;3;0
GRU5;27633.94;0;0;0;1;0;2;0
GRU8;11629.20;0;0;0;0;0;4;2
POA1;21410.00;0;0;0;0;0;2;0
REC1;14691.20;0;0;0;0;0;1;1
XBRA;23953.60;0;0;0;0;0;1;0
XBRB;17468.00;0;0;0;0;0;0;0
XBRT;145384.80;0;0;0;0;0;0;0
XBRZ;11633.60;0;0;0;0;0;0;0
