WK14;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;6376.20;0;0;0;0;0;0;0
CNF1;17635.2;0;1;1;0;0;1;1
DBZ1;6494.20;0;0;0;0;0;1;0
DSP2;4284.30;0;0;0;0;0;0;0
DBH5;2947.70;0;0;0;0;0;0;0
DRJ3;3759.90;0;0;0;0;0;0;0
FOR2;9857.00;0;0;0;0;0;0;2
GIG1;18994.62;0;0;0;0;0;0;1
GRU5;46740.38;0;0;0;1;0;10;0
GRU8;13376.20;0;0;0;0;0;1;4
POA1;14628.00;0;0;0;0;0;1;0
REC1;17533.20;0;0;0;0;0;2;1
XBRA;23724.80;0;0;0;0;0;1;0
XBRB;11096.80;0;0;0;0;0;0;0
XBRT;105265.60;0;0;0;0;0;0;0
XBRZ;8879.20;0;0;0;0;0;0;0
