WK23;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;7489.40;0;0;0;1;0;5;0
CNF1;27502.2;0;0;0;0;0;4;1
DBZ1;6527.70;0;0;0;0;0;0;0
DSP2;4299.00;0;0;0;0;0;1;0
DBH5;5212.50;0;0;0;0;0;0;0
DRJ3;6211.20;0;1;1;0;0;0;0
DSP3;3064.50;0;0;0;0;0;0;0
FOR2;8796.00;0;0;0;0;0;6;0
GIG1;24124.42;0;0;0;2;0;3;0
GRU5;52038.18;0;0;0;1;0;4;0
GRU8;13892.60;0;0;0;0;0;3;1
POA1;17455.39;0;0;0;0;0;2;2
REC1;24523.20;0;0;0;1;0;1;0
XBRA;24851.20;0;0;0;0;0;0;0
XBRB;12047.20;0;0;0;0;0;0;0
XBRT;108944.00;0;0;0;0;0;0;0
XBRZ;6230.40;0;0;0;0;0;0;0
