WK08;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;7142.32;0;0;0;0;0;0;0
CNF1;22264.00;0;0;0;0;0;1;0
DBZ1;7036.90;0;0;0;0;0;1;0
DSP2;4155.70;0;0;0;0;0;0;0
DBH5;3573.00;0;0;0;0;0;0;0
DRJ3;3240.50;0;0;0;0;0;0;0
FOR2;11531.00;0;0;0;0;0;1;0
GIG1;25004.00;0;0;0;0;0;2;0
GRU5;45387.60;0;0;0;3;0;6;0
GRU8;11875.20;0;0;0;1;0;0;1
POA1;22429.00;0;0;0;0;0;1;2
REC1;20092.20;0;0;0;0;0;1;1
XBRA;28239.20;0;0;0;1;0;0;0
XBRB;15048.00;0;0;0;0;0;0;0
XBRT;149582.40;0;1;1;0;0;0;0
XBRZ;10885.60;0;0;0;0;0;0;0
