WK02;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;6766.24;0;0;0;0;0;3;0
CNF1;16946.60;0;0;0;0;0;2;1
DBZ1;7230.10;0;0;0;0;0;0;0
DSP2;3576.70;0;0;0;0;0;0;0
DBH5;1937.70;0;0;0;0;0;0;0
DRJ3;2077.20;1;1;1;0;0;0;0
FOR2;9462.00;0;0;0;0;0;0;0
GIG1;21492.80;0;0;0;0;0;1;0
GRU5;30324.00;0;0;0;1;0;1;0
GRU8;12292.80;0;0;0;0;0;2;0
POA1;18401.00;0;0;0;0;0;0;0
REC1;15283.20;0;0;1;1;0;6;2
XBRA;25810.40;0;0;0;0;0;0;0
XBRB;14062.40;0;0;0;0;0;1;0
XBRT;154237.50;0;0;0;0;0;0;0
XBRZ;12584.00;0;0;0;0;0;0;0
