WK18;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;6592.00;0;0;0;1;0;0;0
CNF1;15844.4;0;0;0;1;0;6;2
DBZ1;6307.00;0;0;0;0;0;0;0
DSP2;4207.00;0;0;0;0;0;1;0
DBH5;2934.70;0;0;0;0;0;0;0
DRJ3;4619.80;0;0;0;0;0;0;0
FOR2;9205.33;0;0;0;0;0;2;0
GIG1;16044.69;0;0;0;1;0;1;0
GRU5;47410.69;0;0;0;2;0;12;0
GRU8;12645.40;0;0;0;0;0;2;0
POA1;14943.68;0;0;0;0;0;0;0
REC1;17014.20;0;0;0;0;0;4;0
XBRA;19536.00;0;0;0;0;0;0;0
XBRB;10533.60;0;0;0;0;0;0;0
XBRT;92620;0;0;0;0;0;0;0
XBRZ;7286.40;0;0;0;0;0;0;0
