WK06;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;6797.36;0;0;0;0;0;0;1
CNF1;23724.80;0;1;1;0;0;2;2
DBZ1;6656.80;0;0;0;0;0;0;0
DSP2;3817.90;0;0;0;0;0;0;0
DBH5;3088.40;0;0;0;0;0;0;0
DRJ3;2686.60;0;0;0;0;0;0;0
FOR2;10489.00;0;1;1;0;0;1;0
GIG1;26006.63;0;0;0;0;0;4;0
GRU5;36213.86;0;0;0;0;0;3;0
GRU8;11830.20;0;0;0;0;0;4;2
POA1;25067.00;0;0;0;0;0;1;0
REC1;18186.20;0;0;0;0;0;0;0
XBRA;26092.00;0;0;0;0;0;0;0
XBRB;17265.60;0;0;0;0;0;0;0
XBRT;139506.40;0;0;0;0;0;0;0
XBRZ;11017.60;0;0;0;0;0;0;0
