WK13;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;6444.80;0;0;0;0;0;0;0
CNF1;17703.4;0;0;0;0;0;1;1
DBZ1;6555.30;0;0;0;0;0;0;0
DSP2;4276.20;0;0;0;0;0;0;0
DBH5;2850.10;0;0;0;0;0;0;0
DRJ3;3688.10;0;0;0;0;0;0;0
FOR2;8316.33;0;0;0;0;0;0;0
GIG1;19306.10;0;0;0;0;0;2;1
GRU5;47469.06;0;0;0;3;0;7;0
GRU8;12431.00;0;0;0;0;0;3;1
POA1;15787.00;0;0;0;0;0;0;0
REC1;17448.20;0;0;0;0;0;2;1
XBRA;25326.40;0;0;0;0;0;0;0
XBRB;12302.40;0;0;0;0;0;0;0
XBRT;115857.60;0;0;0;0;0;0;0
XBRZ;10322.40;0;0;0;0;0;0;0
