WK12;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;6494.00;0;0;0;0;0;0;0
CNF1;17901.40;0;0;0;0;1;4;0
DBZ1;6808.20;0;0;0;0;0;1;0
DSP2;4361.20;0;0;0;0;0;0;0
DBH5;2980.70;0;0;0;1;0;0;0
DRJ3;3738.10;0;0;0;0;0;0;0
FOR2;9861.33;0;0;0;0;0;2;0
GIG1;21289.30;0;0;0;0;0;3;0
GRU5;49951.12;0;0;0;2;0;8;0
GRU8;12826.80;0;0;0;0;0;6;2
POA1;16682.22;0;0;0;0;0;1;0
REC1;17155.20;0;0;0;0;0;0;1
XBRA;26558.40;0;0;0;0;0;1;0
XBRB;13657.60;0;0;0;0;0;0;0
XBRT;128524.00;0;0;0;0;0;0;0
XBRZ;11228.80;0;0;0;0;0;0;0
