WK10;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;7045.80;0;0;0;0;0;1;0
CNF1;21278.40;0;0;0;0;0;3;1
DBZ1;9712.30;0;0;0;0;0;1;0
DSP2;7176.60;0;0;0;0;0;0;0
DBH5;4024.80;0;0;0;0;0;0;0
DRJ3;4910.10;0;0;0;0;0;0;0
FOR2;11621.00;0;0;0;1;0;6;0
GIG1;27479.00;0;0;0;0;0;4;0
GRU5;53194.41;0;1;1;3;0;16;0
GRU8;11803.00;0;0;0;0;0;2;4
POA1;23830.00;0;0;0;1;0;1;1
REC1;22713.20;0;0;0;0;0;4;3
XBRA;33422.40;0;0;0;0;0;1;0
XBRB;17336.00;0;0;0;0;0;0;0
XBRT;160969.60;0;0;0;0;0;1;0
XBRZ;13921.60;0;0;0;0;0;0;0
