WK27;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;12999.40;0;0;0;1;0;8;0
CNF1;48347.2;0;1;1;0;0;5;0
DBZ1;9813.70;0;0;0;0;0;0;0
DSP2;6234.10;0;0;0;0;0;0;0
DBH5;9039.70;0;0;0;0;0;0;0
DRJ3;10330.50;0;0;0;0;0;0;0
DSP3;8514.00;0;0;0;0;0;0;0
FOR2;15162.57;0;0;0;0;0;2;0
GIG1;49706.66;0;0;0;0;0;4;0
GRU5;71523.64;0;0;0;0;0;9;0
GRU8;22812.60;0;0;0;0;0;3;1
POA1;30622.71;0;0;0;0;0;4;0
REC1;41413.20;0;0;0;1;0;3;1
XBRA;46877.60;0;0;0;0;0;1;0
XBRB;21331.20;0;0;0;0;0;0;0
XBRT;210733.60;0;0;0;0;0;0;0
XBRZ;1076.00;0;0;0;0;0;0;0
