WK21;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;6639.20;0;0;0;0;0;0;0
CNF1;19397.4;0;0;0;1;0;3;0
DBZ1;7058.00;0;0;0;0;0;0;0
DSP2;4288.80;0;0;0;0;0;0;0
DBH5;3582.00;0;0;0;0;0;0;0
DRJ3;5440.30;0;0;0;0;0;0;0
DSP3;2467.00;0;0;0;0;0;1;0
FOR2;8256.00;0;0;0;0;0;2;0
GIG1;17023.65;0;0;0;0;0;6;0
GRU5;45837.53;0;0;0;0;0;7;0
GRU8;13079.60;0;0;0;0;0;3;0
POA1;14351.94;0;0;0;0;0;0;0
REC1;16869.20;0;0;0;1;0;2;0
XBRA;20697.60;0;0;0;0;0;0;0
XBRB;10903.20;0;0;0;0;0;0;0
XBRT;102775.20;0;0;0;1;0;0;0
XBRZ;6283.20;0;0;0;0;0;0;0
